"period","archive_name","csv_file","column"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","Count_FinishedCourseTreatmentByInitialCasenessStatus"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","Count_FinishedCourseTreatmentPairedWSAS"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","EffectSize"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","InitialCaseness"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","Mean_End"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","Mean_Start"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","Measure"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","OrgCode"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","OrgName"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","OrgType"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","SD_End"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","SD_Start"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","VariableA"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","VariableB"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-effect-size-2.csv","VariableType"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_Homemaker"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_LongTermSick"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_NotReceivingBenefits"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_NotStated_Unknown_Invalid"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_Retired"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_Students"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_UnPaidVoluntaryWork"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","CountEmploymentStatusEndTreatment_UnemployedAndSeekingWork"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","Count_EmploymentStatusEndTreatment_Employed"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","Count_FinishedCourseTreatment"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","Count_ReferralsReceived"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","OrgCode"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","OrgName"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","OrgType"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","VariableA"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","VariableB"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-employment-status-2.csv","VariableType"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_FinishedIntegratedReferrals"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_FinishedIntegratedReferralsCoreOnly"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_FirstIntegratedContact"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_FirstIntegratedTreatment"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_IntegratedReferralsAtCaseness"
"2024-25","annual_main","psych-ther-ann-rep-csv-2024-25-iet-ltc-2.csv","Count_IntegratedReferralsCoreOnlyAtCaseness"
